,Unnamed: 0,Group,File,Modulus
18001,18001,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,21.29467
18002,18002,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,2.925986
18003,18003,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,26.49643
18004,18004,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,50.55453
18005,18005,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,15.11759
18006,18006,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,14.629929999999998
18007,18007,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,17.71847
18008,18008,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,19.99424
18009,18009,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,20.4819
18010,18010,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,10.24095
18011,18011,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,9.753286
18012,18012,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,11.21628
18013,18013,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,16.58059
18014,18014,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,15.930370000000002
18015,18015,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,8.452848
18016,18016,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,6.664745
18017,18017,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,8.290294
18018,18018,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,8.615403
18019,18019,Polymyxin,20200630_MG1655_mCherry_mcr-1_Prot15_50uM_Colistin.018.txt,10.24095
